TIME,CATEGORY,REGION,QTY,Bong,Dayco,Lac,Meday,Nhan,Vong
2012 - 01,TSECZ,HCM,1782,465,20,50,454,680,113
2012 - 02,TSECZ,HCM,1938,492,18,61,468,811,88
2012 - 03,TSECZ,HCM,1906,532,14,64,485,742,69
2012 - 04,TSECZ,HCM,982,305,8,22,211,381,55
2012 - 05,TSECZ,HCM,916,249,12,21,223,366,45
2012 - 06,TSECZ,HCM,874,238,9,35,214,326,52
2012 - 07,TSECZ,HCM,1051,294,6,35,270,394,52
2012 - 08,TSECZ,HCM,1066,326,9,26,251,406,48
2012 - 09,TSECZ,HCM,775,221,6,30,195,298,25
2012 - 10,TSECZ,HCM,1557,499,13,40,382,558,65
2012 - 11,TSECZ,HCM,1360,377,6,41,325,552,59
2012 - 12,TSECZ,HCM,3006,428,12,45,348,556,1617
2013 - 01,TSECZ,HCM,2870,529,8,55,382,655,1241
2013 - 02,TSECZ,HCM,2200,438,6,48,346,638,724
2013 - 03,TSECZ,HCM,1812,548,8,54,423,701,78
2013 - 04,TSECZ,HCM,1148,355,8,26,258,442,59
2013 - 05,TSECZ,HCM,882,274,5,25,197,341,40
2013 - 06,TSECZ,HCM,940,293,3,25,214,349,56
2013 - 07,TSECZ,HCM,1113,330,8,34,265,421,55
2013 - 08,TSECZ,HCM,1100,317,6,31,267,420,59
2013 - 09,TSECZ,HCM,1041,327,6,16,235,391,66
2013 - 10,TSECZ,HCM,1360,400,10,32,323,519,76
2013 - 11,TSECZ,HCM,1252,377,8,33,326,445,63
2013 - 12,TSECZ,HCM,1485,437,16,32,367,548,85
2014 - 01,TSECZ,HCM,2014,604,10,50,541,698,111
2014 - 02,TSECZ,HCM,1958,498,37,81,416,834,92
2014 - 03,TSECZ,HCM,1803,572,16,51,447,624,93
2014 - 04,TSECZ,HCM,1252,417,9,31,299,425,71
2014 - 05,TSECZ,HCM,1367,452,15,37,314,474,75
2014 - 06,TSECZ,HCM,1365,412,20,31,332,495,75
2014 - 07,TSECZ,HCM,1551,462,23,38,351,562,115
2014 - 08,TSECZ,HCM,1624,503,25,44,336,606,110
2014 - 09,TSECZ,HCM,1572,493,14,25,333,605,102
2014 - 10,TSECZ,HCM,2574,748,30,37,629,959,171
2014 - 11,TSECZ,HCM,2082,656,34,44,406,758,184
2014 - 12,TSECZ,HCM,2845,847,101,52,680,979,186
2015 - 01,TSECZ,HCM,2710,767,85,57,699,922,180
2015 - 02,TSECZ,HCM,3897,1067,89,84,1077,1372,208
2015 - 03,TSECZ,HCM,4293,1274,147,120,1172,1352,228
2015 - 04,TSECZ,HCM,2968,961,99,96,652,974,186
2015 - 05,TSECZ,HCM,2814,948,90,86,602,901,187
2015 - 06,TSECZ,HCM,2718,844,101,102,644,825,202
2015 - 07,TSECZ,HCM,3102,1019,112,147,748,913,163
2015 - 08,TSECZ,HCM,3156,978,100,130,747,1032,169
2015 - 09,TSECZ,HCM,2906,847,89,101,713,983,173
2015 - 10,TSECZ,HCM,4469,1286,170,168,1067,1522,256
2015 - 11,TSECZ,HCM,3469,1018,133,132,838,1123,225
2015 - 12,TSECZ,HCM,4957,1470,223,256,1141,1592,275
2016 - 01,TSECZ,HCM,5367,1561,244,250,1317,1675,320
2016 - 02,TSECZ,HCM,6331,1785,251,271,1506,2190,328
2016 - 03,TSECZ,HCM,5329,1478,202,226,1255,1907,261
2016 - 04,TSECZ,HCM,3578,1070,147,145,741,1289,186
2016 - 05,TSECZ,HCM,3131,935,131,153,691,1076,145
2016 - 06,TSECZ,HCM,3178,952,92,140,746,1109,139
2016 - 07,TSECZ,HCM,3992,1208,140,180,886,1384,194
2016 - 08,TSECZ,HCM,3345,1029,128,120,755,1172,141
2016 - 09,TSECZ,HCM,3627,1125,147,132,833,1224,166
2016 - 10,TSECZ,HCM,5187,1457,222,200,1170,1867,271
2016 - 11,TSECZ,HCM,4507,1288,180,203,997,1548,291
2016 - 12,TSECZ,HCM,5515,1556,205,226,1338,1875,315
2017 - 01,TSECZ,HCM,7616,2305,223,273,1743,2604,468
2017 - 02,TSECZ,HCM,9109,2385,299,293,1882,3822,428
2017 - 03,TSECZ,HCM,6307,1637,236,220,1477,2409,328
2017 - 04,TSECZ,HCM,4847,1397,152,155,1094,1740,309
2017 - 05,TSECZ,HCM,4110,1228,148,144,911,1455,224
2017 - 06,TSECZ,HCM,3992,1239,143,164,875,1364,207
2017 - 07,TSECZ,HCM,3705,1139,130,154,773,1310,199
2017 - 08,TSECZ,HCM,4236,1266,139,184,842,1544,261
2017 - 09,TSECZ,HCM,4151,1160,154,188,855,1560,234
2017 - 10,TSECZ,HCM,6255,1811,248,316,1265,2256,359
2017 - 11,TSECZ,HCM,4968,1427,181,248,1022,1798,292
2017 - 12,TSECZ,HCM,6767,2004,295,333,1453,2339,343
2018 - 01,TSECZ,HCM,6833,1976,251,312,1481,2430,383
2018 - 02,TSECZ,HCM,10754,3224,294,460,2189,4066,521
2018 - 03,TSECZ,HCM,7970,2397,250,327,1667,2955,374
2018 - 04,TSECZ,HCM,5739,1667,189,244,1163,2143,333
2018 - 05,TSECZ,HCM,4664,1350,168,203,978,1718,247
2018 - 06,TSECZ,HCM,4695,1350,155,221,986,1744,239
2018 - 07,TSECZ,HCM,5481,1417,216,237,1089,2214,308
2018 - 08,TSECZ,HCM,5118,1270,287,262,980,2091,228
2018 - 09,TSECZ,HCM,5526,1629,283,211,1032,2135,236
2018 - 10,TSECZ,HCM,7459,2186,312,283,1498,2785,395
2018 - 11,TSECZ,HCM,6223,1675,241,323,1262,2382,340
2018 - 12,TSECZ,HCM,8155,2409,383,318,1745,2910,390
2019 - 01,TSECZ,HCM,"8,450",2352,340,325,1773,3180,480
2019 - 02,TSECZ,HCM,"12,899",3719,441,469,2533,5154,583
2019 - 03,TSECZ,HCM,"9,542",2788,342,382,1932,3669,429
2019-04,TSECZ,HCM,"5,776",1507,263,216,1107,2411,272
2019-05,TSECZ,HCM,"4,411",933,172,191,815,2122,178
2019-06,TSECZ,HCM,"4,463",787,158,172,832,2306,208
2019-07,TSECZ,HCM,"4,509",938,148,218,904,2089,212
2019-08,TSECZ,HCM,"5,074",1401,195,221,971,2099,187
2019-09,TSECZ,HCM,"5,542",1428,240,206,1087,2385,196
2019-10,TSECZ,HCM,"8,102",1926,306,359,1649,3535,327
2019-11,TSECZ,HCM,"8,501",2082,324,347,1438,3950,360
2019-12,TSECZ,HCM,"9,226",2419,397,381,1558,4059,412
2020-01,TSECZ,HCM,10493,2899,527,370,1816,4394,487
2020-02,TSECZ,HCM,12788,3000,599,539,2072,6036,542
2020-03,TSECZ,HCM,6997,1756,341,299,1102,3203,296
2020-04,TSECZ,HCM,1935,518,75,89,290,895,68
2020-05,TSECZ,HCM,4736,1293,167,189,804,2108,175
2020-06,TSECZ,HCM,5347,1409,220,212,892,2409,205
2020-07,TSECZ,HCM,5030,1202,192,168,896,2423,149
2020-08,TSECZ,HCM,4620,1258,152,179,809,2069,153
2020-09,TSECZ,HCM,5881,1614,194,178,1092,2631,172
2020-10,TSECZ,HCM,10086,2763,389,441,1714,4452,327
2020-11,TSECZ,HCM,8771,2165,321,358,1442,4219,266
2020-12,TSECZ,HCM,8748,2142,409,391,1482,4032,292
2021-01,TSECZ,HCM,9585,2525,405,362,1813,4167,313
2021-02,TSECZ,HCM,12783,3422,456,469,2208,5893,335
2021-03,TSECZ,HCM,11764,3019,429,474,1859,5619,364
2021-04,TSECZ,HCM,7986,1921,292,310,1208,3963,292
2021-05,TSECZ,HCM,6517,1588,203,253,986,3290,197
2021-06,TSECZ,HCM,1918,453,60,79,335,935,56
2021-07,TSECZ,HCM,499,97,22,41,72,258,9
2021-08,TSECZ,HCM,111,33,12,8,15,41,2
2021-09,TSECZ,HCM,247,67,12,21,42,100,5
2021-10,TSECZ,HCM,9074,2319,269,414,1624,4187,261
2021-11,TSECZ,HCM,8479,2071,237,362,1377,4129,303
2021-12,TSECZ,HCM,11519,2750,337,462,2088,5456,426
2022-01,TSECZ,HCM,15131,3795,507,567,2688,6972,602
2022-02,TSECZ,HCM,14410,3169,485,819,2553,6966,418
2022-03,TSECZ,HCM,12242,2994,313,557,2141,5863,374
2022-04,TSECZ,HCM,11804,3031,339,449,2002,5555,428
2022-05,TSECZ,HCM,12056,3080,389,517,2016,5552,502
2022-06,TSECZ,HCM,11464,2764,335,631,1852,5488,394
2022-07,TSECZ,HCM,12219,3135,414,575,2043,5648,404
2022-08,TSECZ,HCM,11534,2784,384,585,1996,5429,356
2022-09,TSECZ,HCM,11436,2689,350,589,1918,5474,416