Time,NHOMHH,REGION,SL,Bong,Dayco,Lac,Meday,Nhan,Vong
2012 - 01,TSEZ,HCM,1782,465,20,50,454,680,113
2012 - 02,TSEZ,HCM,1938,492,18,61,468,811,88
2012 - 03,TSCZ,HCM,1906,532,14,64,485,742,69
2012 - 04,TSEZ,HCM,982,305,8,22,211,381,55
2012 - 05,TSEZ,HCM,916,249,12,21,223,366,45
2012 - 06,TSEZ,HCM,874,238,9,35,214,326,52
2012 - 07,TSEZ,HCM,1051,294,6,35,270,394,52
2012 - 08,TSEZ,HCM,1066,326,9,26,251,406,48
2012 - 09,TSEZ,HCM,775,221,6,30,195,298,25
2012 - 10,TSEZ,HCM,1557,499,13,40,382,558,65
2012 - 11,TSEZ,HCM,1360,377,6,41,325,552,59
2012 - 12,TSEZ,HCM,3006,428,12,45,348,556,1617
2013 - 01,TSEZ,HCM,2870,529,8,55,382,655,1241
2013 - 02,TSEZ,HCM,2200,438,6,48,346,638,724
2013 - 03,TSEZ,HCM,1812,548,8,54,423,701,78
2013 - 04,TSEZ,HCM,1148,355,8,26,258,442,59
2013 - 05,TSEZ,HCM,882,274,5,25,197,341,40
2013 - 06,TSEZ,HCM,940,293,3,25,214,349,56
2013 - 07,TSEZ,HCM,1113,330,8,34,265,421,55
2013 - 08,TSEZ,HCM,1100,317,6,31,267,420,59
2013 - 09,TSEZ,HCM,1041,327,6,16,235,391,66
2013 - 10,TSEZ,HCM,1360,400,10,32,323,519,76
2013 - 11,TSEZ,HCM,1252,377,8,33,326,445,63
2013 - 12,TSEZ,HCM,1485,437,16,32,367,548,85
2014 - 01,TSEZ,HCM,2014,604,10,50,541,698,111
2014 - 02,TSEZ,HCM,1958,498,37,81,416,834,92
2014 - 03,TSEZ,HCM,1803,572,16,51,447,624,93
2014 - 04,TSEZ,HCM,1252,417,9,31,299,425,71
2014 - 05,TSEZ,HCM,1367,452,15,37,314,474,75
2014 - 06,TSEZ,HCM,1365,412,20,31,332,495,75
2014 - 07,TSEZ,HCM,1551,462,23,38,351,562,115
2014 - 08,TSEZ,HCM,1624,503,25,44,336,606,110
2014 - 09,TSEZ,HCM,1572,493,14,25,333,605,102
2014 - 010,TSEZ,HCM,2574,748,30,37,629,959,171
2014 - 11,TSEZ,HCM,2082,656,34,44,406,758,184
2014 - 12,TSEZ,HCM,2845,847,101,52,680,979,186
2015 - 01,TSEZ,HCM,2710,767,85,57,699,922,180
2015 - 02,TSEZ,HCM,3897,1067,89,84,1077,1372,208
2015 - 03,TSEZ,HCM,4293,1274,147,120,1172,1352,228
2015 - 04,TSEZ,HCM,2968,961,99,96,652,974,186
2015 - 05,TSEZ,HCM,2814,948,90,86,602,901,187
2015 - 06,TSEZ,HCM,2718,844,101,102,644,825,202
2015 - 07,TSEZ,HCM,3102,1019,112,147,748,913,163
2015 - 08,TSEZ,HCM,3156,978,100,130,747,1032,169
2015 - 09,TSEZ,HCM,2906,847,89,101,713,983,173
2015 - 010,TSEZ,HCM,4469,1286,170,168,1067,1522,256
2015 - 11,TSEZ,HCM,3469,1018,133,132,838,1123,225
2015 - 12,TSEZ,HCM,4957,1470,223,256,1141,1592,275
2016 - 01,TSEZ,HCM,5367,1561,244,250,1317,1675,320
2016 - 02,TSEZ,HCM,6331,1785,251,271,1506,2190,328
2016 - 03,TSEZ,HCM,5329,1478,202,226,1255,1907,261
2016 - 04,TSEZ,HCM,3578,1070,147,145,741,1289,186
2016 - 05,TSEZ,HCM,3131,935,131,153,691,1076,145
2016 - 06,TSEZ,HCM,3178,952,92,140,746,1109,139
2016 - 07,TSEZ,HCM,3992,1208,140,180,886,1384,194
2016 - 08,TSEZ,HCM,3345,1029,128,120,755,1172,141
2016 - 09,TSEZ,HCM,3627,1125,147,132,833,1224,166
2016 - 010,TSEZ,HCM,5187,1457,222,200,1170,1867,271
2016 - 11,TSEZ,HCM,4507,1288,180,203,997,1548,291
2016 - 12,TSEZ,HCM,5515,1556,205,226,1338,1875,315
2017 - 01,TSEZ,HCM,7616,2305,223,273,1743,2604,468
2017 - 02,TSEZ,HCM,9109,2385,299,293,1882,3822,428
2017 - 03,TSEZ,HCM,6307,1637,236,220,1477,2409,328
2017 - 04,TSEZ,HCM,4847,1397,152,155,1094,1740,309
2017 - 05,TSEZ,HCM,4110,1228,148,144,911,1455,224
2017 - 06,TSEZ,HCM,3992,1239,143,164,875,1364,207
2017 - 07,TSEZ,HCM,3705,1139,130,154,773,1310,199
2017 - 08,TSEZ,HCM,4236,1266,139,184,842,1544,261
2017 - 09,TSEZ,HCM,4151,1160,154,188,855,1560,234
2017 - 010,TSEZ,HCM,6255,1811,248,316,1265,2256,359
2017 - 11,TSEZ,HCM,4968,1427,181,248,1022,1798,292
2017 - 12,TSEZ,HCM,6767,2004,295,333,1453,2339,343
2018 - 01,TSEZ,HCM,6833,1976,251,312,1481,2430,383
2018 - 02,TSEZ,HCM,10754,3224,294,460,2189,4066,521
2018 - 03,TSEZ,HCM,7970,2397,250,327,1667,2955,374
2018 - 04,TSEZ,HCM,5739,1667,189,244,1163,2143,333
2018 - 05,TSEZ,HCM,4664,1350,168,203,978,1718,247
2018 - 06,TSEZ,HCM,4695,1350,155,221,986,1744,239
2018 - 07,TSEZ,HCM,5481,1417,216,237,1089,2214,308
2018 - 08,TSEZ,HCM,5118,1270,287,262,980,2091,228
2018 - 09,TSEZ,HCM,5526,1629,283,211,1032,2135,236
2018 - 10,TSEZ,HCM,7459,2186,312,283,1498,2785,395
2018 - 11,TSEZ,HCM,6223,1675,241,323,1262,2382,340
2018 - 12,TSEZ,HCM,8155.054531,2409,383,318.0545309,1745,2910,390
2019 - 01,TSEZ,HCM,8449.532984,2351.898348,340,324.6346359,1773,3180,480
2019 - 02,TSEZ,HCM,12898.89516,3718.736843,441,469.1583137,2533,5154,583
2019 - 03,TSEZ,HCM,9542.194156,2788,342,382.1941559,1932,3669,429
2019 - 04,TSEZ,HCM,7106,2046,242,273,1442,2696,407
2019 - 05,TSEZ,HCM,5586,1531,224,245,1135,2164,287
2019 - 06,TSEZ,HCM,5667,1545,217,245,1187,2190,283
2019 - 07,TSEZ,HCM,6437,1639,260,270,1260,2620,388
2019 - 08,TSEZ,HCM,6213,1590,319,301,1149,2535,319
2019 - 09,TSEZ,HCM,6088,1638,263,299,1167,2387,334
2019 - 010,TSEZ,HCM,9352,2499,426,478,1837,3609,503
2019 - 11,TSEZ,HCM,7512,1957,316,380,1478,2981,400
2019 - 12,TSEZ,HCM,9858,2598,511,504,1947,3815,483